iter	Logloss
0	0.6314317933
1	0.5902243499
2	0.5568707335
3	0.5334692346
4	0.5123739423
5	0.491373607
6	0.4801000127
7	0.4702588502
8	0.4631775416
9	0.4555948879
10	0.4499725786
11	0.4461060794
12	0.4393219768
13	0.4358901417
14	0.4329777887
15	0.4303278133
16	0.4285687429
17	0.4249098374
18	0.4231981016
19	0.4208214103
20	0.4190220463
21	0.417573382
22	0.4163845914
23	0.4150290007
24	0.4143405404
25	0.4134073924
26	0.4123256844
27	0.4117041976
28	0.4108619119
29	0.4102297388
30	0.4097116713
31	0.4087656605
32	0.4082420557
33	0.4076647298
34	0.4072477858
35	0.406348442
36	0.4060371093
37	0.4055026816
38	0.4050630224
39	0.4045020896
40	0.4040454431
41	0.4034898166
42	0.4031533037
43	0.402759979
44	0.402278822
45	0.4018296368
46	0.4014150155
47	0.4010713053
48	0.4006925542
49	0.4002971523
50	0.3997355957
51	0.3993577377
52	0.3991118225
53	0.3989673364
54	0.3987930053
55	0.3984917654
56	0.398247478
57	0.3979831101
58	0.3977028325
59	0.397478739
60	0.3969431493
61	0.3966213928
62	0.3963015542
63	0.3959741053
64	0.3957155675
65	0.3952241863
66	0.3950032947
67	0.3948238075
68	0.3945998642
69	0.3942519649
70	0.3941272577
71	0.3937030379
72	0.3935369211
73	0.3932018924
74	0.3929645338
75	0.3927094351
76	0.3923517657
77	0.3921830568
78	0.3918831521
79	0.3916481677
80	0.3914197769
81	0.3912436744
82	0.3909788734
83	0.3906322552
84	0.3903858219
85	0.390102194
86	0.3898369196
87	0.3896224186
88	0.3894329328
89	0.3891793316
90	0.3888793243
91	0.3884607473
92	0.3881692382
93	0.3878228428
94	0.3875954992
95	0.3871818775
96	0.3869753872
97	0.3867423101
98	0.386461213
99	0.3860635689
