iter	Passed	Remaining
0	137	13602
1	143	7015
2	147	4784
3	152	3664
4	159	3029
5	164	2576
6	169	2253
7	175	2018
8	180	1822
9	185	1668
10	191	1550
11	196	1441
12	201	1346
13	206	1271
14	211	1197
15	216	1134
16	223	1090
17	228	1039
18	233	993
19	238	953
20	243	914
21	248	879
22	254	852
23	259	821
24	264	793
25	271	771
26	275	745
27	280	722
28	286	701
29	291	679
30	295	658
31	301	640
32	306	621
33	310	603
34	316	587
35	321	571
36	326	556
37	331	541
38	337	527
39	342	513
40	348	501
41	353	488
42	357	474
43	362	461
44	367	449
45	372	437
46	376	425
47	382	414
48	387	403
49	392	392
50	398	383
51	403	372
52	407	361
53	413	352
54	418	342
55	423	332
56	428	323
57	433	313
58	437	304
59	443	295
60	448	286
61	452	277
62	459	269
63	473	266
64	480	258
65	485	250
66	492	242
67	497	234
68	503	226
69	509	218
70	518	211
71	525	204
72	531	196
73	535	188
74	541	180
75	546	172
76	551	164
77	557	157
78	562	149
79	567	141
80	573	134
81	577	126
82	582	119
83	587	111
84	592	104
85	598	97
86	604	90
87	609	83
88	614	75
89	620	68
90	625	61
91	630	54
92	637	47
93	641	40
94	646	34
95	652	27
96	657	20
97	661	13
98	668	6
99	673	0
